日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,股票代码
2020-01-02,145.15,146.99,147.1,144.7,22634546,3615509840.0,1.67,2.03,2.92,0.3,105.MSFT
2020-01-03,144.69,144.99,146.31,144.43,21121681,3362709040.0,1.28,-1.36,-2.0,0.28,105.MSFT
2020-01-06,143.45,145.4,145.47,142.88,20826702,3299661296.0,1.79,0.28,0.41,0.27,105.MSFT
2020-01-07,145.69,143.95,146.04,143.69,21881740,3464529680.0,1.62,-1.0,-1.45,0.29,105.MSFT
2020-01-08,145.3,146.46,147.17,144.32,27762026,4432835072.0,1.98,1.74,2.51,0.36,105.MSFT
2020-01-09,148.21,148.46,148.59,147.4,21399951,3462384848.0,0.81,1.37,2.0,0.28,105.MSFT
2020-01-10,149.19,147.71,149.59,147.55,20733946,3361461520.0,1.37,-0.51,-0.75,0.27,105.MSFT
2020-01-13,148.13,149.65,149.68,147.63,21637007,3515478752.0,1.39,1.31,1.94,0.28,105.MSFT
2020-01-14,149.76,148.5,149.97,148.09,23500783,3824040352.0,1.26,-0.77,-1.15,0.31,105.MSFT
2020-01-15,148.99,149.55,150.31,148.94,21417871,3498700320.0,0.92,0.71,1.05,0.28,105.MSFT
2020-01-16,150.72,152.54,152.61,150.4,23865360,3945425200.0,1.48,2.0,2.99,0.31,105.MSFT
2020-01-17,153.79,153.47,153.84,151.8,34371659,5727103232.0,1.34,0.61,0.93,0.45,105.MSFT
2020-01-21,153.05,152.87,154.56,152.8,29517191,4929743360.0,1.15,-0.39,-0.6,0.39,105.MSFT
2020-01-22,153.77,152.07,153.86,152.05,24138777,4016168192.0,1.18,-0.52,-0.8,0.32,105.MSFT
2020-01-23,152.56,153.09,153.17,151.64,19680766,3273298304.0,1.01,0.67,1.02,0.26,105.MSFT
2020-01-24,153.88,151.41,153.9,150.82,24918117,4132997248.0,2.01,-1.1,-1.68,0.33,105.MSFT
2020-01-27,147.52,148.65,149.75,146.57,32078067,5206715136.0,2.1,-1.82,-2.76,0.42,105.MSFT
2020-01-28,150.15,151.83,152.13,149.44,24899940,4109672400.0,1.81,2.14,3.18,0.33,105.MSFT
2020-01-29,154.21,154.41,155.12,152.06,35127771,5888123392.0,2.02,1.7,2.58,0.46,105.MSFT
2020-01-30,160.42,159.15,160.42,157.16,51597470,8897376256.0,2.11,3.07,4.74,0.68,105.MSFT
2020-01-31,158.58,156.6,158.77,155.95,36142690,6167026944.0,1.77,-1.6,-2.55,0.48,105.MSFT
2020-02-03,156.8,160.75,160.87,156.77,30149052,5222750720.0,2.62,2.65,4.15,0.4,105.MSFT
2020-02-04,163.51,166.49,167.01,162.68,36433339,6528765184.0,2.69,3.57,5.74,0.48,105.MSFT
2020-02-05,170.4,166.27,170.57,164.78,39186324,7069952512.0,3.48,-0.13,-0.22,0.52,105.MSFT
2020-02-06,167.34,170.0,170.19,166.43,27751381,5067014912.0,2.26,2.24,3.73,0.36,105.MSFT
2020-02-07,169.22,170.26,172.0,168.85,33529074,6177260032.0,1.85,0.15,0.26,0.44,105.MSFT
2020-02-10,169.95,175.07,175.21,169.62,35844267,6694506240.0,3.28,2.83,4.81,0.47,105.MSFT
2020-02-11,177.02,170.81,177.07,169.87,53159906,9930318080.0,4.11,-2.43,-4.26,0.7,105.MSFT
2020-02-12,171.95,171.08,172.22,168.22,47062921,8653249792.0,2.34,0.16,0.27,0.62,105.MSFT
2020-02-13,169.45,170.08,172.6,169.24,35295834,6509234432.0,1.96,-0.58,-1.0,0.46,105.MSFT
2020-02-14,169.62,171.72,171.78,169.02,23149516,4269142128.0,1.62,0.96,1.64,0.3,105.MSFT
2020-02-18,171.98,173.6,174.07,171.87,27853113,5203528704.0,1.28,1.09,1.88,0.37,105.MSFT
2020-02-19,174.94,174.16,175.06,173.35,29997471,5618678784.0,0.99,0.32,0.56,0.39,105.MSFT
2020-02-20,173.83,171.3,174.13,167.98,36862376,6791832576.0,3.53,-1.64,-2.86,0.48,105.MSFT
2020-02-21,170.05,165.47,170.38,164.13,48600385,8725559296.0,3.65,-3.4,-5.83,0.64,105.MSFT
2020-02-24,154.65,157.77,161.43,150.11,68311066,11716108288.0,6.84,-4.65,-7.7,0.9,105.MSFT
2020-02-25,161.08,154.95,161.72,154.53,68073295,11602793728.0,4.56,-1.79,-2.82,0.89,105.MSFT
2020-02-26,156.59,157.05,160.14,155.09,56387148,9630761216.0,3.26,1.36,2.1,0.74,105.MSFT
2020-02-27,150.2,145.06,153.91,144.86,93174906,15200486912.0,5.76,-7.63,-11.99,1.23,105.MSFT
2020-02-28,139.29,148.89,150.59,138.88,97073557,15382314240.0,8.07,2.64,3.83,1.28,105.MSFT
2020-03-02,152.19,159.67,159.8,149.19,71030810,11907012096.0,7.13,7.24,10.78,0.93,105.MSFT
2020-03-03,160.68,151.39,161.88,149.14,71677019,12019860480.0,7.98,-5.19,-8.28,0.94,105.MSFT
2020-03-04,155.37,157.43,157.58,152.5,49814383,8387847168.0,3.36,3.99,6.04,0.65,105.MSFT
2020-03-05,152.93,153.15,157.75,152.57,47817251,7999687168.0,3.29,-2.72,-4.28,0.63,105.MSFT
2020-03-06,149.49,148.45,149.99,142.88,72821057,11658319616.0,4.64,-3.07,-4.7,0.96,105.MSFT
2020-03-09,137.88,137.5,144.63,136.88,70419274,10819064576.0,5.22,-7.38,-10.95,0.93,105.MSFT
2020-03-10,145.04,147.8,147.91,139.46,65354385,10275857408.0,6.15,7.49,10.3,0.86,105.MSFT
2020-03-11,144.01,140.51,144.58,138.03,56504304,8719384576.0,4.43,-4.93,-7.29,0.74,105.MSFT
2020-03-12,132.18,125.94,140.35,125.46,93226366,13398196224.0,10.6,-10.37,-14.57,1.23,105.MSFT
2020-03-13,134.38,145.71,148.79,127.61,92727446,13744060416.0,16.82,15.7,19.77,1.22,105.MSFT
2020-03-16,126.88,122.3,136.23,121.88,87905868,12432651008.0,9.85,-16.07,-23.41,1.16,105.MSFT
2020-03-17,126.88,133.45,134.38,121.88,81059817,11609685760.0,10.22,9.12,11.15,1.07,105.MSFT
2020-03-18,124.63,127.28,132.88,121.9,81593173,11420075008.0,8.23,-4.62,-6.17,1.07,105.MSFT
2020-03-19,129.65,129.59,137.03,125.88,85922661,12456036864.0,8.76,1.81,2.31,1.13,105.MSFT
2020-03-20,132.88,124.23,133.98,122.74,84866215,12060584448.0,8.67,-4.14,-5.36,1.12,105.MSFT
2020-03-23,123.89,122.86,127.45,119.4,78975176,10769181696.0,6.48,-1.1,-1.37,1.04,105.MSFT
2020-03-24,130.63,135.22,136.48,128.15,82516727,12041020160.0,6.78,10.06,12.36,1.08,105.MSFT
2020-03-25,135.79,133.8,141.21,131.32,75638224,11301637376.0,7.31,-1.05,-1.42,0.99,105.MSFT
2020-03-26,135.28,142.99,143.54,135.25,64694427,9933875456.0,6.2,6.87,9.19,0.85,105.MSFT
