序号,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,总市值,市盈率,成交量,成交额,振幅,换手率,代码
1,Landsea Homes Corp Wt,0.174,0.104,148.71,0.182,0.19,0.151,0.07,,,10009207.0,1666669.0,54.71,,105.LSEAW
2,TNL Mediagene,0.72,0.408,130.77,0.333,0.85,0.31,0.312,20365296.0,-0.24,74771447.0,41287125.0,173.04,264.35,105.TNMG
3,TEN Holdings Inc,1.375,0.725,111.54,0.67,1.43,0.64,0.65,39453483.0,-13.29,66599478.0,79634474.0,121.54,232.11,105.XHLD
4,Biofrontera Inc Wt,0.14,0.07,101.15,0.175,0.18,0.099,0.07,,,86728.0,13255.0,116.52,,105.BFRIW
5,HCW Biologics Inc,10.05,4.84,92.9,15.0,17.8,8.22,5.21,11289879.0,-0.38,37607804.0,526993200.0,183.88,3347.76,105.HCWB
6,X3 Holdings Co Ltd-A,2.11,1.01,91.82,1.2,2.22,1.01,1.1,28977176.0,-0.38,2584201.0,4216432.0,110.0,18.82,105.XTKG
7,湖岸生物(权证),0.055,0.025,84.23,0.03,0.06,0.026,0.03,,,34682.0,1377.0,113.76,,105.LSBPW
8,理臣咨询,6.41,2.93,84.2,5.31,8.28,4.14,3.48,4883298.0,-0.8,25598474.0,169234929.0,118.97,3360.15,105.LICN
9,Chenghe Acquisition II Co Wt,0.075,0.034,82.93,0.075,0.075,0.075,0.041,,,754.0,56.0,0.0,,107.CHEB_WS
10,Lemonade Inc Wt,0.097,0.043,77.98,0.075,0.098,0.052,0.055,,,83889.0,6953.0,85.32,,107.LMND_WS
11,Stran & Co Inc Wt,0.016,0.006,62.24,0.016,0.016,0.016,0.01,,,417.0,6.0,1.02,,105.SWAGW
12,萝贝,1.23,0.47,61.84,1.98,2.41,1.11,0.76,10614900.0,-13.06,88520917.0,144426611.0,171.05,1025.73,105.LOBO
13,Landsea Homes Corp-A,11.27,4.255,60.66,11.23,11.27,11.21,7.015,410335741.0,41.93,24383118.0,273800160.0,0.86,66.97,105.LSEA
14,Xilio Therapeutics Inc,1.15,0.419,57.32,0.91,1.18,0.879,0.731,59549614.0,-1.1,34550196.0,35741756.0,41.2,66.72,105.XLO
15,iCoreConnect Inc,2.29,0.83,56.85,1.67,4.3,1.67,1.46,4747220.0,-0.16,101483294.0,330202816.0,180.14,4895.43,105.ICCT
16,Mogo Inc,1.53,0.533,53.52,1.01,2.73,1.01,0.997,37442160.0,-2.45,132109529.0,260426959.0,172.59,539.84,105.MOGO
17,Innoviz Technologies Ltd Wt,0.084,0.029,52.18,0.07,0.09,0.06,0.055,,,206455.0,16308.0,54.55,,105.INVZW
18,Big 5体育用品,1.53,0.52,51.49,1.06,1.78,1.01,1.01,34968246.0,-0.45,6996716.0,9645244.0,76.24,30.61,105.BGFV
19,冠科美博(权证),0.015,0.005,50.51,0.011,0.015,0.011,0.01,,,34762.0,501.0,44.44,,105.APLMW
20,KWESST Micro Systems Inc Wt,0.06,0.02,50.0,0.065,0.065,0.03,0.04,,,4035.0,164.0,87.0,,105.KWESW
21,Babcock & Wilcox Enterprises In,11.53,3.81,49.35,8.0,11.57,8.0,7.72,,,99749.0,1015770.0,46.24,,106.BWNB
22,二倍做多Coinbase ETF-Leverage,27.222,8.922,48.75,22.69,27.57,22.61,18.301,,,53920.0,1412783.0,27.1,,105.COIG
23,二倍做多Coinbase ETF-GraniteSha,27.4,8.89,48.03,22.89,28.0,22.81,18.51,,,20306512.0,521785344.0,28.04,,105.CONL
24,Bakkt Holdings Inc-A,14.75,4.74,47.35,12.63,15.49,11.58,10.01,205193135.0,-6.67,3667554.0,52066838.0,39.06,26.36,106.BKKT
25,Northann Corp,0.626,0.201,47.2,0.43,0.766,0.407,0.425,34698529.0,-8.38,138786474.0,87683614.0,84.52,250.23,107.NCL
26,Above Food Ingredients Inc Wt,0.059,0.019,46.63,0.044,0.059,0.041,0.04,,,33886.0,1738.0,45.14,,105.ABVEW
27,Babcock & Wilcox,0.947,0.299,46.1,0.657,0.947,0.6,0.648,93178770.0,-1.43,7804105.0,6330655.0,53.53,7.93,106.BW
28,Movano Inc,1.3,0.395,43.57,0.9,1.34,0.85,0.906,9148039.0,-0.39,366741.0,417506.0,54.1,5.21,105.MOVE
29,Apyx Medical Corp,1.58,0.475,42.99,1.18,1.76,1.14,1.105,59714340.0,-2.98,7825901.0,12070274.0,56.11,20.71,105.APYX
30,DigiAsia Corp Wt,0.038,0.011,41.95,0.038,0.038,0.038,0.027,,,2015.0,76.0,0.37,,105.FAASW
31,Israel Acquisitions Corp Wt,0.218,0.064,41.82,0.16,0.25,0.141,0.154,,,996828.0,208673.0,70.94,,105.ISRLW
32,INNO HOLDINGS INC,3.34,0.98,41.53,3.31,3.51,2.945,2.36,14731010.0,-2.64,13473619.0,43411364.0,23.94,305.49,105.INHD
33,Armlogi Holding Corp,1.765,0.505,40.08,1.27,1.8,1.265,1.26,73560164.0,-13.71,385507.0,590305.0,42.46,0.92,105.BTOC
34,Bridger Aerospace Group Holding,0.078,0.022,39.86,0.068,0.08,0.06,0.056,,,20244.0,1386.0,35.91,,105.BAERW
35,A SPAC III Acquisition Corp Rt,0.18,0.05,38.38,0.17,0.18,0.17,0.13,,,5828.0,1047.0,7.69,,105.ASPCR
36,闽东红集团,1.33,0.368,38.25,1.08,1.33,1.06,0.962,29276625.0,14.02,15551495.0,18633816.0,28.07,70.65,105.ORIS
37,SBC Medical Group Holdings Inc ,0.18,0.049,37.3,0.165,0.18,0.135,0.131,,,15875.0,2610.0,34.55,,105.SBCWW
38,VirTra Inc,6.41,1.74,37.26,5.68,6.907,5.66,4.67,72186779.0,33.43,964295.0,6077856.0,26.7,8.56,105.VTSI
39,New Era Helium Inc Wt,0.077,0.021,37.14,0.056,0.077,0.056,0.056,,,2000.0,120.0,37.14,,105.NEHCW
40,Lionheart Holdings Wt,0.26,0.07,36.84,0.18,0.28,0.18,0.19,,,87019.0,18436.0,52.68,,105.CUBWW
